onset	duration	type	value	latency	trial
13.61	4	circle	3	13610	1
30.782	4	pentagram	1	30782	2
47.914	4	pentagram	1	47914	3
65.058	4	square	2	65058	4
82.234	4	square	2	82234	5
99.346	4	circle	3	99346	6
116.476	4	pentagram	1	116476	7
133.606	4	circle	3	133606	8
150.729	4	square	2	150729	9
167.856	4	square	2	167856	10
184.989	4	pentagram	1	184989	11
202.099	4	pentagram	1	202099	12
219.218	4	circle	3	219218	13
236.359	4	circle	3	236359	14
253.467	4	circle	3	253467	15
270.597	4	circle	3	270597	16
287.727	4	circle	3	287727	17
304.856	4	square	2	304856	18
321.966	4	square	2	321966	19
339.095	4	pentagram	1	339095	20
356.224	4	circle	3	356224	21
373.352	4	pentagram	1	373352	22
390.465	4	pentagram	1	390465	23
407.577	4	square	2	407577	24
424.687	4	circle	3	424687	25
441.817	4	square	2	441817	26
458.942	4	pentagram	1	458942	27
476.076	4	square	2	476076	28
493.203	4	pentagram	1	493203	29
510.315	4	square	2	510315	30
642.293	4	pentagram	1	642293	31
659.406	4	pentagram	1	659406	32
676.529	4	pentagram	1	676529	33
693.66	4	pentagram	1	693660	34
710.786	4	circle	3	710786	35
727.9	4	circle	3	727900	36
745.026	4	square	2	745026	37
762.156	4	circle	3	762156	38
779.268	4	circle	3	779268	39
796.381	4	pentagram	1	796381	40
813.503	4	pentagram	1	813503	41
830.637	4	circle	3	830637	42
847.749	4	square	2	847749	43
864.879	4	square	2	864879	44
882.017	4	square	2	882017	45
899.135	4	square	2	899135	46
916.262	4	circle	3	916262	47
933.402	4	circle	3	933402	48
950.539	4	square	2	950539	49
967.655	4	circle	3	967655	50
984.783	4	circle	3	984783	51
1001.898	4	pentagram	1	1001898	52
1019.018	4	pentagram	1	1019018	53
1036.135	4	square	2	1036135	54
1053.263	4	square	2	1053263	55
1070.372	4	square	2	1070372	56
1087.485	4	square	2	1087485	57
1104.616	4	pentagram	1	1104616	58
1121.745	4	pentagram	1	1121745	59
1138.869	4	circle	3	1138869	60
1345.677	4	pentagram	1	1345677	61
1362.798	4	pentagram	1	1362798	62
1379.94	4	square	2	1379940	63
1397.055	4	square	2	1397055	64
1414.193	4	square	2	1414193	65
1431.331	4	square	2	1431331	66
1448.472	4	pentagram	1	1448472	67
1465.61	4	pentagram	1	1465610	68
1482.724	4	circle	3	1482724	69
1499.837	4	square	2	1499837	70
1516.967	4	circle	3	1516967	71
1534.092	4	circle	3	1534092	72
1551.223	4	square	2	1551223	73
1568.338	4	pentagram	1	1568338	74
1585.475	4	pentagram	1	1585475	75
1602.611	4	circle	3	1602611	76
1619.724	4	circle	3	1619724	77
1636.866	4	circle	3	1636866	78
1653.992	4	square	2	1653992	79
1671.107	4	pentagram	1	1671107	80
1688.231	4	pentagram	1	1688231	81
1705.361	4	circle	3	1705361	82
1722.49	4	circle	3	1722490	83
1739.62	4	square	2	1739620	84
1756.734	4	circle	3	1756734	85
1773.851	4	square	2	1773851	86
1790.975	4	pentagram	1	1790975	87
1808.091	4	circle	3	1808091	88
1825.233	4	square	2	1825233	89
1842.343	4	pentagram	1	1842343	90
2097.357	4	pentagram	1	2097357	91
2114.488	4	pentagram	1	2114488	92
2131.606	4	pentagram	1	2131606	93
2148.728	4	circle	3	2148728	94
2165.841	4	circle	3	2165841	95
2182.974	4	pentagram	1	2182974	96
2200.112	4	circle	3	2200112	97
2217.226	4	square	2	2217226	98
2234.363	4	square	2	2234363	99
2251.483	4	circle	3	2251483	100
2268.612	4	square	2	2268612	101
2285.739	4	square	2	2285739	102
2302.875	4	pentagram	1	2302875	103
2320.011	4	circle	3	2320011	104
2337.127	4	circle	3	2337127	105
2354.24	4	pentagram	1	2354240	106
2371.364	4	square	2	2371364	107
2388.478	4	pentagram	1	2388478	108
2405.594	4	circle	3	2405594	109
2422.718	4	pentagram	1	2422718	110
2439.829	4	square	2	2439829	111
2456.965	4	square	2	2456965	112
2474.105	4	square	2	2474105	113
2491.216	4	square	2	2491216	114
2508.331	4	pentagram	1	2508331	115
2525.459	4	square	2	2525459	116
2542.583	4	circle	3	2542583	117
2559.704	4	circle	3	2559704	118
2576.842	4	pentagram	1	2576842	119
2593.97	4	circle	3	2593970	120
