onset	duration	type	value	latency	trial
17.03	4	pentagram	1	17030	1
34.189	4	pentagram	1	34189	2
51.332	4	pentagram	1	51332	3
68.492	4	pentagram	1	68492	4
85.586	4	square	2	85586	5
102.715	4	circle	3	102715	6
119.839	4	pentagram	1	119839	7
136.971	4	circle	3	136971	8
154.1	4	square	2	154100	9
171.227	4	square	2	171227	10
188.339	4	square	2	188339	11
205.45	4	square	2	205450	12
222.562	4	square	2	222562	13
239.675	4	circle	3	239675	14
256.804	4	pentagram	1	256804	15
273.933	4	circle	3	273933	16
291.047	4	circle	3	291047	17
308.161	4	circle	3	308161	18
325.3	4	pentagram	1	325300	19
342.428	4	circle	3	342428	20
359.547	4	pentagram	1	359547	21
376.688	4	pentagram	1	376688	22
393.814	4	square	2	393814	23
410.94	4	pentagram	1	410940	24
428.054	4	square	2	428054	25
445.183	4	circle	3	445183	26
462.308	4	square	2	462308	27
479.426	4	circle	3	479426	28
496.567	4	square	2	496567	29
513.682	4	circle	3	513682	30
682.559	4	square	2	682559	31
699.699	4	circle	3	699699	32
716.814	4	pentagram	1	716814	33
733.955	4	square	2	733955	34
751.083	4	pentagram	1	751083	35
768.208	4	pentagram	1	768208	36
785.323	4	circle	3	785323	37
802.438	4	pentagram	1	802438	38
819.565	4	pentagram	1	819565	39
836.693	4	pentagram	1	836693	40
853.823	4	square	2	853823	41
870.95	4	circle	3	870950	42
888.062	4	circle	3	888062	43
905.19	4	pentagram	1	905190	44
922.322	4	square	2	922322	45
939.446	4	circle	3	939446	46
956.574	4	square	2	956574	47
973.705	4	circle	3	973705	48
990.817	4	square	2	990817	49
1007.928	4	pentagram	1	1007928	50
1025.059	4	square	2	1025059	51
1042.206	4	pentagram	1	1042206	52
1059.343	4	circle	3	1059343	53
1076.473	4	circle	3	1076473	54
1093.604	4	circle	3	1093604	55
1110.713	4	circle	3	1110713	56
1127.829	4	pentagram	1	1127829	57
1144.968	4	square	2	1144968	58
1162.079	4	square	2	1162079	59
1179.19	4	square	2	1179190	60
1362.461	4	pentagram	1	1362461	61
1379.59	4	circle	3	1379590	62
1396.728	4	pentagram	1	1396728	63
1413.859	4	circle	3	1413859	64
1430.983	4	circle	3	1430983	65
1448.115	4	square	2	1448115	66
1465.229	4	pentagram	1	1465229	67
1482.346	4	circle	3	1482346	68
1499.469	4	pentagram	1	1499469	69
1516.578	4	circle	3	1516578	70
1533.693	4	square	2	1533693	71
1550.821	4	square	2	1550821	72
1567.948	4	pentagram	1	1567948	73
1585.062	4	pentagram	1	1585062	74
1602.191	4	square	2	1602191	75
1619.318	4	square	2	1619318	76
1636.447	4	square	2	1636447	77
1653.56	4	pentagram	1	1653560	78
1670.675	4	square	2	1670675	79
1687.816	4	square	2	1687816	80
1704.943	4	circle	3	1704943	81
1722.073	4	circle	3	1722073	82
1739.198	4	pentagram	1	1739198	83
1756.311	4	circle	3	1756311	84
1773.444	4	pentagram	1	1773444	85
1790.568	4	circle	3	1790568	86
1807.685	4	circle	3	1807685	87
1824.824	4	pentagram	1	1824824	88
1841.948	4	square	2	1841948	89
1859.083	4	square	2	1859083	90
1995.735	4	circle	3	1995735	91
2012.859	4	square	2	2012859	92
2029.996	4	pentagram	1	2029996	93
2047.12	4	circle	3	2047120	94
2064.233	4	circle	3	2064233	95
2081.363	4	pentagram	1	2081363	96
2098.474	4	circle	3	2098474	97
2115.585	4	pentagram	1	2115585	98
2132.7	4	circle	3	2132700	99
2149.825	4	square	2	2149825	100
2166.952	4	circle	3	2166952	101
2184.081	4	pentagram	1	2184081	102
2201.214	4	square	2	2201214	103
2218.342	4	circle	3	2218342	104
2235.452	4	square	2	2235452	105
2252.578	4	square	2	2252578	106
2269.692	4	square	2	2269692	107
2286.808	4	pentagram	1	2286808	108
2303.935	4	pentagram	1	2303935	109
2321.062	4	circle	3	2321062	110
2338.186	4	pentagram	1	2338186	111
2355.3	4	square	2	2355300	112
2372.43	4	pentagram	1	2372430	113
2389.562	4	square	2	2389562	114
2406.687	4	square	2	2406687	115
2423.813	4	circle	3	2423813	116
2440.944	4	pentagram	1	2440944	117
2458.056	4	pentagram	1	2458056	118
2475.17	4	square	2	2475170	119
2492.284	4	circle	3	2492284	120
