onset	duration	type	value	latency	trial
19.97	4	scissor	1	19970	1
37.102	4	chair	4	37102	2
54.232	4	cup	3	54232	3
71.362	4	scissor	1	71362	4
88.488	4	scissor	1	88488	5
105.622	4	chair	4	105622	6
122.794	4	cup	3	122794	7
139.927	4	watch	2	139927	8
157.037	4	watch	2	157037	9
174.153	4	watch	2	174153	10
191.292	4	watch	2	191292	11
208.408	4	cup	3	208408	12
225.535	4	cup	3	225535	13
242.646	4	cup	3	242646	14
259.766	4	scissor	1	259766	15
276.904	4	watch	2	276904	16
294.02	4	chair	4	294020	17
311.148	4	cup	3	311148	18
328.262	4	chair	4	328262	19
345.386	4	scissor	1	345386	20
362.503	4	cup	3	362503	21
379.634	4	chair	4	379634	22
396.758	4	watch	2	396758	23
413.873	4	chair	4	413873	24
431.002	4	chair	4	431002	25
448.134	4	cup	3	448134	26
465.274	4	watch	2	465274	27
482.404	4	watch	2	482404	28
499.531	4	cup	3	499531	29
516.665	4	scissor	1	516665	30
533.789	4	scissor	1	533789	31
550.909	4	scissor	1	550909	32
568.048	4	cup	3	568048	33
585.166	4	scissor	1	585166	34
602.297	4	watch	2	602297	35
619.435	4	chair	4	619435	36
636.552	4	chair	4	636552	37
653.668	4	watch	2	653668	38
670.792	4	chair	4	670792	39
687.921	4	scissor	1	687921	40
860.455	4	watch	2	860455	41
877.587	4	watch	2	877587	42
894.701	4	scissor	1	894701	43
911.826	4	cup	3	911826	44
928.952	4	scissor	1	928952	45
946.072	4	scissor	1	946072	46
963.183	4	watch	2	963183	47
980.29	4	cup	3	980290	48
997.406	4	cup	3	997406	49
1014.535	4	watch	2	1014535	50
1031.665	4	scissor	1	1031665	51
1048.776	4	cup	3	1048776	52
1065.904	4	chair	4	1065904	53
1083.04	4	watch	2	1083040	54
1100.166	4	cup	3	1100166	55
1117.28	4	scissor	1	1117280	56
1134.41	4	scissor	1	1134410	57
1151.531	4	chair	4	1151531	58
1168.667	4	chair	4	1168667	59
1185.776	4	watch	2	1185776	60
1202.91	4	chair	4	1202910	61
1220.037	4	chair	4	1220037	62
1237.149	4	chair	4	1237149	63
1254.276	4	cup	3	1254276	64
1271.39	4	scissor	1	1271390	65
