onset	duration	type	value	latency	trial
13.065	4	dog	1	13065	1
30.194	4	dog	1	30194	2
47.336	4	bird	2	47336	3
64.469	4	dog	1	64469	4
81.593	4	bird	2	81593	5
98.719	4	bird	2	98719	6
115.849	4	dog	1	115849	7
132.982	4	bird	2	132982	8
150.109	4	fish	3	150109	9
167.238	4	dog	1	167238	10
184.366	4	bird	2	184366	11
201.482	4	fish	3	201482	12
218.626	4	fish	3	218626	13
235.752	4	dog	1	235752	14
252.881	4	fish	3	252881	15
270.009	4	fish	3	270009	16
287.125	4	fish	3	287125	17
304.251	4	bird	2	304251	18
321.383	4	bird	2	321383	19
338.493	4	dog	1	338493	20
355.624	4	dog	1	355624	21
372.735	4	bird	2	372735	22
389.868	4	dog	1	389868	23
406.998	4	bird	2	406998	24
424.123	4	fish	3	424123	25
441.242	4	bird	2	441242	26
458.384	4	fish	3	458384	27
475.513	4	fish	3	475513	28
492.628	4	dog	1	492628	29
509.757	4	fish	3	509757	30
660.893	4	fish	3	660893	31
678.012	4	bird	2	678012	32
695.145	4	fish	3	695145	33
712.286	4	bird	2	712286	34
729.413	4	bird	2	729413	35
746.538	4	bird	2	746538	36
763.668	4	bird	2	763668	37
780.798	4	bird	2	780798	38
797.914	4	fish	3	797914	39
815.03	4	bird	2	815030	40
832.155	4	fish	3	832155	41
849.283	4	dog	1	849283	42
866.414	4	dog	1	866414	43
883.522	4	fish	3	883522	44
900.638	4	fish	3	900638	45
917.77	4	bird	2	917770	46
934.898	4	fish	3	934898	47
952.026	4	bird	2	952026	48
969.133	4	dog	1	969133	49
986.272	4	dog	1	986272	50
1003.415	4	dog	1	1003415	51
1020.537	4	dog	1	1020537	52
1037.673	4	dog	1	1037673	53
1054.8	4	dog	1	1054800	54
1071.928	4	bird	2	1071928	55
1089.041	4	dog	1	1089041	56
1106.154	4	fish	3	1106154	57
1123.284	4	fish	3	1123284	58
1140.397	4	dog	1	1140397	59
1157.508	4	fish	3	1157508	60
1322.576	4	bird	2	1322576	61
1339.712	4	bird	2	1339712	62
1356.827	4	dog	1	1356827	63
1373.969	4	dog	1	1373969	64
1391.096	4	fish	3	1391096	65
1408.213	4	bird	2	1408213	66
1425.341	4	dog	1	1425341	67
1442.47	4	bird	2	1442470	68
1459.596	4	dog	1	1459596	69
1476.727	4	dog	1	1476727	70
1493.856	4	fish	3	1493856	71
1510.987	4	fish	3	1510987	72
1528.098	4	dog	1	1528098	73
1545.232	4	bird	2	1545232	74
1562.378	4	bird	2	1562378	75
1579.506	4	fish	3	1579506	76
1596.634	4	dog	1	1596634	77
1613.762	4	fish	3	1613762	78
1630.888	4	fish	3	1630888	79
1648.008	4	bird	2	1648008	80
1665.146	4	dog	1	1665146	81
1682.261	4	dog	1	1682261	82
1699.391	4	fish	3	1699391	83
1716.519	4	fish	3	1716519	84
1733.646	4	dog	1	1733646	85
1750.764	4	bird	2	1750764	86
1767.887	4	bird	2	1767887	87
1785.017	4	bird	2	1785017	88
1802.138	4	fish	3	1802138	89
1819.278	4	fish	3	1819278	90
1977.478	4	fish	3	1977478	91
1994.609	4	dog	1	1994609	92
2011.727	4	dog	1	2011727	93
2028.865	4	bird	2	2028865	94
2045.998	4	dog	1	2045998	95
2063.128	4	bird	2	2063128	96
2080.252	4	dog	1	2080252	97
2097.365	4	bird	2	2097365	98
2114.496	4	dog	1	2114496	99
2131.613	4	fish	3	2131613	100
2148.736	4	bird	2	2148736	101
2165.853	4	fish	3	2165853	102
2182.965	4	fish	3	2182965	103
2200.098	4	fish	3	2200098	104
2217.21	4	fish	3	2217210	105
2234.32	4	bird	2	2234320	106
2251.445	4	dog	1	2251445	107
2268.581	4	bird	2	2268581	108
2285.707	4	bird	2	2285707	109
2302.824	4	dog	1	2302824	110
2319.935	4	fish	3	2319935	111
2337.064	4	bird	2	2337064	112
2354.195	4	dog	1	2354195	113
2371.305	4	fish	3	2371305	114
2388.418	4	fish	3	2388418	115
2405.547	4	dog	1	2405547	116
2422.676	4	bird	2	2422676	117
2439.791	4	bird	2	2439791	118
2456.907	4	fish	3	2456907	119
2474.048	4	dog	1	2474048	120
