onset	duration	type	value	latency	trial
23.474	4	pentagram	1	23474	1
40.653	4	pentagram	1	40653	2
57.81	4	pentagram	1	57810	3
74.969	4	circle	3	74969	4
92.098	4	circle	3	92098	5
109.223	4	pentagram	1	109223	6
126.353	4	circle	3	126353	7
143.479	4	square	2	143479	8
160.602	4	square	2	160602	9
177.725	4	circle	3	177725	10
194.865	4	square	2	194865	11
211.995	4	square	2	211995	12
229.124	4	pentagram	1	229124	13
246.268	4	circle	3	246268	14
263.403	4	circle	3	263403	15
280.525	4	pentagram	1	280525	16
297.652	4	square	2	297652	17
314.787	4	pentagram	1	314787	18
331.905	4	circle	3	331905	19
349.033	4	pentagram	1	349033	20
366.146	4	square	2	366146	21
383.257	4	square	2	383257	22
400.386	4	square	2	400386	23
417.501	4	square	2	417501	24
434.64	4	pentagram	1	434640	25
451.756	4	square	2	451756	26
468.888	4	circle	3	468888	27
486.009	4	circle	3	486009	28
503.14	4	pentagram	1	503140	29
520.269	4	circle	3	520269	30
638.506	4	pentagram	1	638506	31
655.639	4	circle	3	655639	32
672.764	4	pentagram	1	672764	33
689.89	4	pentagram	1	689890	34
707.017	4	circle	3	707017	35
724.135	4	square	2	724135	36
741.274	4	square	2	741274	37
758.403	4	square	2	758403	38
775.53	4	square	2	775530	39
792.644	4	circle	3	792644	40
809.775	4	circle	3	809775	41
826.917	4	circle	3	826917	42
844.031	4	pentagram	1	844031	43
861.155	4	square	2	861155	44
878.287	4	circle	3	878287	45
895.413	4	pentagram	1	895413	46
912.525	4	circle	3	912525	47
929.656	4	square	2	929656	48
946.793	4	circle	3	946793	49
963.908	4	square	2	963908	50
981.036	4	square	2	981036	51
998.162	4	circle	3	998162	52
1015.296	4	pentagram	1	1015296	53
1032.436	4	pentagram	1	1032436	54
1049.564	4	pentagram	1	1049564	55
1066.691	4	circle	3	1066691	56
1083.825	4	pentagram	1	1083825	57
1100.967	4	square	2	1100967	58
1118.092	4	square	2	1118092	59
1135.22	4	pentagram	1	1135220	60
1249.075	4	circle	3	1249075	61
1266.205	4	circle	3	1266205	62
1283.342	4	pentagram	1	1283342	63
1300.46	4	square	2	1300460	64
1317.59	4	square	2	1317590	65
1334.724	4	pentagram	1	1334724	66
1351.867	4	square	2	1351867	67
1369.005	4	circle	3	1369005	68
1386.123	4	circle	3	1386123	69
1403.249	4	square	2	1403249	70
1420.373	4	pentagram	1	1420373	71
1437.499	4	circle	3	1437499	72
1454.619	4	pentagram	1	1454619	73
1471.761	4	square	2	1471761	74
1488.888	4	square	2	1488888	75
1506.014	4	pentagram	1	1506014	76
1523.148	4	circle	3	1523148	77
1540.291	4	pentagram	1	1540291	78
1557.427	4	pentagram	1	1557427	79
1574.565	4	square	2	1574565	80
1591.71	4	circle	3	1591710	81
1608.845	4	circle	3	1608845	82
1625.976	4	circle	3	1625976	83
1643.102	4	square	2	1643102	84
1660.228	4	circle	3	1660228	85
1677.363	4	pentagram	1	1677363	86
1694.492	4	pentagram	1	1694492	87
1711.631	4	square	2	1711631	88
1728.745	4	pentagram	1	1728745	89
1745.877	4	square	2	1745877	90
1840.835	4	pentagram	1	1840835	91
1857.965	4	pentagram	1	1857965	92
1875.09	4	pentagram	1	1875090	93
1892.218	4	pentagram	1	1892218	94
1909.345	4	square	2	1909345	95
1926.477	4	circle	3	1926477	96
1943.602	4	pentagram	1	1943602	97
1960.716	4	circle	3	1960716	98
1977.841	4	square	2	1977841	99
1994.969	4	square	2	1994969	100
2012.101	4	square	2	2012101	101
2029.222	4	square	2	2029222	102
2046.34	4	square	2	2046340	103
2063.468	4	circle	3	2063468	104
2080.593	4	pentagram	1	2080593	105
2097.726	4	circle	3	2097726	106
2114.851	4	circle	3	2114851	107
2131.98	4	circle	3	2131980	108
2149.102	4	pentagram	1	2149102	109
2166.221	4	circle	3	2166221	110
2183.35	4	pentagram	1	2183350	111
2200.476	4	pentagram	1	2200476	112
2217.602	4	square	2	2217602	113
2234.718	4	pentagram	1	2234718	114
2251.846	4	square	2	2251846	115
2268.956	4	circle	3	2268956	116
2286.085	4	square	2	2286085	117
2303.212	4	circle	3	2303212	118
2320.344	4	square	2	2320344	119
2337.471	4	circle	3	2337471	120
