onset	duration	type	value	latency	trial
16.631	4	circle	3	16631	1
33.741	4	circle	3	33741	2
50.87	4	pentagram	1	50870	3
67.981	4	square	2	67981	4
85.093	4	square	2	85093	5
102.224	4	pentagram	1	102224	6
119.361	4	square	2	119361	7
136.476	4	circle	3	136476	8
153.594	4	circle	3	153594	9
170.715	4	square	2	170715	10
187.83	4	pentagram	1	187830	11
204.946	4	circle	3	204946	12
222.056	4	pentagram	1	222056	13
239.17	4	square	2	239170	14
256.298	4	square	2	256298	15
273.428	4	pentagram	1	273428	16
290.543	4	circle	3	290543	17
307.665	4	pentagram	1	307665	18
324.78	4	pentagram	1	324780	19
341.908	4	square	2	341908	20
359.032	4	circle	3	359032	21
376.151	4	circle	3	376151	22
393.262	4	circle	3	393262	23
410.392	4	square	2	410392	24
427.515	4	circle	3	427515	25
444.646	4	pentagram	1	444646	26
461.771	4	pentagram	1	461771	27
478.89	4	square	2	478890	28
495.998	4	pentagram	1	495998	29
513.116	4	square	2	513116	30
637.973	4	pentagram	1	637973	31
655.093	4	pentagram	1	655093	32
672.206	4	pentagram	1	672206	33
689.337	4	pentagram	1	689337	34
706.462	4	square	2	706462	35
723.592	4	circle	3	723592	36
740.719	4	pentagram	1	740719	37
757.845	4	circle	3	757845	38
774.964	4	square	2	774964	39
792.087	4	square	2	792087	40
809.204	4	square	2	809204	41
826.332	4	square	2	826332	42
843.455	4	square	2	843455	43
860.584	4	circle	3	860584	44
877.699	4	pentagram	1	877699	45
894.816	4	circle	3	894816	46
911.947	4	circle	3	911947	47
929.071	4	circle	3	929071	48
946.185	4	pentagram	1	946185	49
963.326	4	circle	3	963326	50
980.455	4	pentagram	1	980455	51
997.581	4	pentagram	1	997581	52
1014.697	4	square	2	1014697	53
1031.813	4	pentagram	1	1031813	54
1048.936	4	square	2	1048936	55
1066.064	4	circle	3	1066064	56
1083.193	4	square	2	1083193	57
1100.32	4	circle	3	1100320	58
1117.439	4	square	2	1117439	59
1134.564	4	circle	3	1134564	60
1299.028	4	square	2	1299028	61
1316.147	4	circle	3	1316147	62
1333.261	4	pentagram	1	1333261	63
1350.37	4	square	2	1350370	64
1367.488	4	pentagram	1	1367488	65
1384.613	4	pentagram	1	1384613	66
1401.736	4	circle	3	1401736	67
1418.867	4	pentagram	1	1418867	68
1435.997	4	pentagram	1	1435997	69
1453.123	4	pentagram	1	1453123	70
1470.252	4	square	2	1470252	71
1487.381	4	circle	3	1487381	72
1504.517	4	circle	3	1504517	73
1521.644	4	pentagram	1	1521644	74
1538.77	4	square	2	1538770	75
1555.893	4	circle	3	1555893	76
1573.011	4	square	2	1573011	77
1590.124	4	circle	3	1590124	78
1607.236	4	square	2	1607236	79
1624.366	4	pentagram	1	1624366	80
1641.477	4	square	2	1641477	81
1658.589	4	pentagram	1	1658589	82
1675.72	4	circle	3	1675720	83
1692.845	4	circle	3	1692845	84
1709.958	4	circle	3	1709958	85
1727.087	4	circle	3	1727087	86
1744.216	4	pentagram	1	1744216	87
1761.338	4	square	2	1761338	88
1778.475	4	square	2	1778475	89
1795.602	4	square	2	1795602	90
1928.306	4	pentagram	1	1928306	91
1945.43	4	circle	3	1945430	92
1962.569	4	pentagram	1	1962569	93
1979.681	4	circle	3	1979681	94
1996.797	4	circle	3	1996797	95
2013.906	4	square	2	2013906	96
2031.036	4	pentagram	1	2031036	97
2048.164	4	circle	3	2048164	98
2065.275	4	pentagram	1	2065275	99
2082.387	4	circle	3	2082387	100
2099.515	4	square	2	2099515	101
2116.643	4	square	2	2116643	102
2133.756	4	pentagram	1	2133756	103
2150.89	4	pentagram	1	2150890	104
2168.031	4	square	2	2168031	105
2185.156	4	square	2	2185156	106
2202.291	4	square	2	2202291	107
2219.431	4	pentagram	1	2219431	108
2236.559	4	square	2	2236559	109
2253.675	4	square	2	2253675	110
2270.804	4	circle	3	2270804	111
2287.93	4	circle	3	2287930	112
2305.041	4	pentagram	1	2305041	113
2322.158	4	circle	3	2322158	114
2339.286	4	pentagram	1	2339286	115
2356.41	4	circle	3	2356410	116
2373.525	4	circle	3	2373525	117
2390.654	4	pentagram	1	2390654	118
2407.782	4	square	2	2407782	119
2424.897	4	square	2	2424897	120
