onset	duration	type	value	latency	trial
11.682	4	dog	1	11682	1
28.841	4	dog	1	28841	2
45.969	4	dog	1	45969	3
63.146	4	dog	1	63146	4
80.277	4	fish	3	80277	5
97.399	4	fish	3	97399	6
114.515	4	bird	2	114515	7
131.644	4	fish	3	131644	8
148.757	4	fish	3	148757	9
165.865	4	dog	1	165865	10
182.981	4	dog	1	182981	11
200.105	4	fish	3	200105	12
217.218	4	bird	2	217218	13
234.333	4	bird	2	234333	14
251.463	4	bird	2	251463	15
268.575	4	bird	2	268575	16
285.688	4	fish	3	285688	17
302.801	4	fish	3	302801	18
319.925	4	bird	2	319925	19
337.042	4	fish	3	337042	20
354.154	4	fish	3	354154	21
371.279	4	dog	1	371279	22
388.395	4	dog	1	388395	23
405.518	4	bird	2	405518	24
422.633	4	bird	2	422633	25
439.748	4	bird	2	439748	26
456.86	4	bird	2	456860	27
473.97	4	dog	1	473970	28
491.084	4	dog	1	491084	29
508.196	4	fish	3	508196	30
630.043	4	dog	1	630043	31
647.155	4	dog	1	647155	32
664.286	4	bird	2	664286	33
681.427	4	bird	2	681427	34
698.537	4	bird	2	698537	35
715.654	4	bird	2	715654	36
732.766	4	dog	1	732766	37
749.891	4	dog	1	749891	38
767.011	4	fish	3	767011	39
784.153	4	bird	2	784153	40
801.264	4	fish	3	801264	41
818.393	4	fish	3	818393	42
835.501	4	bird	2	835501	43
852.618	4	dog	1	852618	44
869.743	4	dog	1	869743	45
886.87	4	fish	3	886870	46
903.98	4	fish	3	903980	47
921.117	4	fish	3	921117	48
938.256	4	bird	2	938256	49
955.369	4	dog	1	955369	50
972.498	4	dog	1	972498	51
989.628	4	fish	3	989628	52
1006.757	4	fish	3	1006757	53
1023.884	4	bird	2	1023884	54
1041.009	4	fish	3	1041009	55
1058.142	4	bird	2	1058142	56
1075.253	4	dog	1	1075253	57
1092.388	4	fish	3	1092388	58
1109.509	4	bird	2	1109509	59
1126.624	4	dog	1	1126624	60
1248.205	4	dog	1	1248205	61
1265.319	4	dog	1	1265319	62
1282.438	4	dog	1	1282438	63
1299.566	4	fish	3	1299566	64
1316.689	4	fish	3	1316689	65
1333.821	4	dog	1	1333821	66
1350.953	4	fish	3	1350953	67
1368.078	4	bird	2	1368078	68
1385.19	4	bird	2	1385190	69
1402.331	4	fish	3	1402331	70
1419.451	4	bird	2	1419451	71
1436.561	4	bird	2	1436561	72
1453.674	4	dog	1	1453674	73
1470.809	4	fish	3	1470809	74
1487.945	4	fish	3	1487945	75
1505.06	4	dog	1	1505060	76
1522.172	4	bird	2	1522172	77
1539.301	4	dog	1	1539301	78
1556.426	4	fish	3	1556426	79
1573.538	4	dog	1	1573538	80
1590.668	4	bird	2	1590668	81
1607.791	4	bird	2	1607791	82
1624.909	4	bird	2	1624909	83
1642.021	4	bird	2	1642021	84
1659.155	4	dog	1	1659155	85
1676.278	4	bird	2	1676278	86
1693.394	4	fish	3	1693394	87
1710.521	4	fish	3	1710521	88
1727.649	4	dog	1	1727649	89
1744.762	4	fish	3	1744762	90
1876.942	4	dog	1	1876942	91
1894.075	4	fish	3	1894075	92
1911.221	4	dog	1	1911221	93
1928.344	4	dog	1	1928344	94
1945.473	4	fish	3	1945473	95
1962.589	4	bird	2	1962589	96
1979.716	4	bird	2	1979716	97
1996.829	4	bird	2	1996829	98
2013.956	4	bird	2	2013956	99
2031.082	4	fish	3	2031082	100
2048.196	4	fish	3	2048196	101
2065.311	4	fish	3	2065311	102
2082.42	4	dog	1	2082420	103
2099.547	4	bird	2	2099547	104
2116.666	4	fish	3	2116666	105
2133.793	4	dog	1	2133793	106
2150.934	4	fish	3	2150934	107
2168.062	4	bird	2	2168062	108
2185.195	4	fish	3	2185195	109
2202.323	4	bird	2	2202323	110
2219.451	4	bird	2	2219451	111
2236.564	4	fish	3	2236564	112
2253.672	4	dog	1	2253672	113
2270.801	4	dog	1	2270801	114
2287.93	4	dog	1	2287930	115
2305.043	4	fish	3	2305043	116
2322.153	4	dog	1	2322153	117
2339.27	4	bird	2	2339270	118
2356.379	4	bird	2	2356379	119
2373.494	4	dog	1	2373494	120
