onset	duration	type	value	latency	trial
17.034	4	chair	4	17034	1
34.165	4	chair	4	34165	2
51.325	4	chair	4	51325	3
68.441	4	chair	4	68441	4
85.581	4	scissor	1	85581	5
102.696	4	scissor	1	102696	6
119.856	4	watch	2	119856	7
136.964	4	watch	2	136964	8
154.078	4	watch	2	154078	9
171.19	4	watch	2	171190	10
188.309	4	scissor	1	188309	11
205.445	4	scissor	1	205445	12
222.574	4	cup	3	222574	13
239.693	4	chair	4	239693	14
256.815	4	watch	2	256815	15
273.938	4	cup	3	273938	16
291.071	4	cup	3	291071	17
308.185	4	chair	4	308185	18
325.315	4	watch	2	325315	19
342.454	4	scissor	1	342454	20
359.587	4	chair	4	359587	21
376.727	4	scissor	1	376727	22
393.856	4	cup	3	393856	23
410.99	4	cup	3	410990	24
428.129	4	chair	4	428129	25
445.259	4	cup	3	445259	26
462.383	4	watch	2	462383	27
479.513	4	scissor	1	479513	28
496.64	4	scissor	1	496640	29
513.767	4	cup	3	513767	30
530.885	4	cup	3	530885	31
548.015	4	chair	4	548015	32
565.14	4	watch	2	565140	33
582.255	4	cup	3	582255	34
599.382	4	watch	2	599382	35
616.504	4	scissor	1	616504	36
633.633	4	cup	3	633633	37
650.751	4	watch	2	650751	38
667.892	4	chair	4	667892	39
685.018	4	scissor	1	685018	40
1255.095	4	cup	3	1255095	41
1272.209	4	watch	2	1272209	42
1289.331	4	watch	2	1289331	43
1306.467	4	cup	3	1306467	44
1323.593	4	cup	3	1323593	45
1340.702	4	chair	4	1340702	46
1357.82	4	chair	4	1357820	47
1374.95	4	chair	4	1374950	48
1392.072	4	watch	2	1392072	49
1409.2	4	scissor	1	1409200	50
1426.331	4	scissor	1	1426331	51
1443.459	4	chair	4	1443459	52
1460.571	4	watch	2	1460571	53
1477.697	4	cup	3	1477697	54
1494.821	4	scissor	1	1494821	55
1511.955	4	chair	4	1511955	56
1529.084	4	scissor	1	1529084	57
1546.197	4	cup	3	1546197	58
1563.325	4	chair	4	1563325	59
1580.434	4	watch	2	1580434	60
1597.563	4	watch	2	1597563	61
1614.677	4	scissor	1	1614677	62
1631.783	4	watch	2	1631783	63
1648.916	4	chair	4	1648916	64
1666.029	4	chair	4	1666029	65
1683.137	4	scissor	1	1683137	66
1700.272	4	scissor	1	1700272	67
1717.398	4	scissor	1	1717398	68
1734.509	4	scissor	1	1734509	69
1751.634	4	cup	3	1751634	70
1768.766	4	scissor	1	1768766	71
1785.88	4	cup	3	1785880	72
1802.985	4	cup	3	1802985	73
1820.105	4	watch	2	1820105	74
1837.229	4	cup	3	1837229	75
1854.344	4	chair	4	1854344	76
1871.477	4	chair	4	1871477	77
1888.616	4	watch	2	1888616	78
1905.723	4	cup	3	1905723	79
1922.839	4	watch	2	1922839	80
2187.015	4	chair	4	2187015	81
2204.155	4	chair	4	2204155	82
2221.277	4	watch	2	2221277	83
2238.406	4	cup	3	2238406	84
2255.531	4	scissor	1	2255531	85
2272.646	4	cup	3	2272646	86
2289.773	4	watch	2	2289773	87
2306.9	4	scissor	1	2306900	88
2324.032	4	cup	3	2324032	89
2341.142	4	chair	4	2341142	90
2358.274	4	scissor	1	2358274	91
2375.413	4	chair	4	2375413	92
2392.541	4	scissor	1	2392541	93
2409.673	4	scissor	1	2409673	94
2426.789	4	cup	3	2426789	95
2443.915	4	watch	2	2443915	96
2461.025	4	scissor	1	2461025	97
2478.158	4	chair	4	2478158	98
2495.283	4	watch	2	2495283	99
2512.41	4	cup	3	2512410	100
2529.523	4	scissor	1	2529523	101
2546.666	4	cup	3	2546666	102
2563.793	4	watch	2	2563793	103
