onset	duration	type	value	latency	trial
16.811	4	chair	4	16811	1
34	4	chair	4	34000	2
51.141	4	cup	3	51141	3
68.289	4	chair	4	68289	4
85.454	4	chair	4	85454	5
102.595	4	scissor	1	102595	6
119.72	4	scissor	1	119720	7
136.839	4	watch	2	136839	8
153.967	4	watch	2	153967	9
171.1	4	cup	3	171100	10
188.223	4	chair	4	188223	11
205.336	4	scissor	1	205336	12
222.47	4	chair	4	222470	13
239.597	4	cup	3	239597	14
256.722	4	watch	2	256722	15
273.853	4	watch	2	273853	16
290.967	4	scissor	1	290967	17
308.098	4	scissor	1	308098	18
325.232	4	cup	3	325232	19
342.368	4	cup	3	342368	20
359.5	4	cup	3	359500	21
376.616	4	chair	4	376616	22
393.743	4	chair	4	393743	23
410.855	4	cup	3	410855	24
427.969	4	cup	3	427969	25
445.099	4	watch	2	445099	26
462.228	4	watch	2	462228	27
479.34	4	scissor	1	479340	28
496.454	4	chair	4	496454	29
513.584	4	cup	3	513584	30
530.709	4	scissor	1	530709	31
547.825	4	scissor	1	547825	32
564.935	4	watch	2	564935	33
582.069	4	cup	3	582069	34
599.187	4	chair	4	599187	35
616.309	4	watch	2	616309	36
633.419	4	scissor	1	633419	37
650.548	4	watch	2	650548	38
667.675	4	scissor	1	667675	39
684.804	4	watch	2	684804	40
883.03	4	watch	2	883030	41
900.156	4	cup	3	900156	42
917.295	4	cup	3	917295	43
934.411	4	watch	2	934411	44
951.524	4	scissor	1	951524	45
968.653	4	chair	4	968653	46
985.788	4	watch	2	985788	47
1002.91	4	chair	4	1002910	48
1020.037	4	chair	4	1020037	49
1037.17	4	chair	4	1037170	50
1054.283	4	cup	3	1054283	51
1071.394	4	cup	3	1071394	52
1088.509	4	watch	2	1088509	53
1105.623	4	watch	2	1105623	54
1122.754	4	chair	4	1122754	55
1139.874	4	scissor	1	1139874	56
1156.993	4	scissor	1	1156993	57
1174.119	4	scissor	1	1174119	58
1191.255	4	chair	4	1191255	59
1208.38	4	scissor	1	1208380	60
1225.497	4	watch	2	1225497	61
1242.64	4	cup	3	1242640	62
1259.762	4	cup	3	1259762	63
1276.884	4	watch	2	1276884	64
1294.024	4	chair	4	1294024	65
1311.157	4	scissor	1	1311157	66
1328.27	4	watch	2	1328270	67
1345.393	4	watch	2	1345393	68
1362.511	4	cup	3	1362511	69
1379.64	4	scissor	1	1379640	70
1396.756	4	cup	3	1396756	71
1413.893	4	scissor	1	1413893	72
1431.01	4	scissor	1	1431010	73
1448.14	4	scissor	1	1448140	74
1465.257	4	chair	4	1465257	75
1482.393	4	chair	4	1482393	76
1499.51	4	cup	3	1499510	77
