onset	duration	type	value	latency	trial
16.931	4	bird	2	16931	1
34.049	4	bird	2	34049	2
51.163	4	fish	3	51163	3
68.273	4	bird	2	68273	4
85.404	4	fish	3	85404	5
102.529	4	dog	1	102529	6
119.643	4	bird	2	119643	7
136.755	4	fish	3	136755	8
153.872	4	bird	2	153872	9
170.997	4	dog	1	170997	10
188.121	4	dog	1	188121	11
205.235	4	dog	1	205235	12
222.349	4	fish	3	222349	13
239.464	4	dog	1	239464	14
256.576	4	dog	1	256576	15
273.687	4	dog	1	273687	16
290.82	4	fish	3	290820	17
307.957	4	dog	1	307957	18
325.069	4	bird	2	325069	19
342.199	4	fish	3	342199	20
359.318	4	fish	3	359318	21
376.439	4	bird	2	376439	22
393.57	4	fish	3	393570	23
410.701	4	bird	2	410701	24
427.836	4	bird	2	427836	25
444.971	4	fish	3	444971	26
462.1	4	fish	3	462100	27
479.213	4	bird	2	479213	28
496.32	4	dog	1	496320	29
513.452	4	dog	1	513452	30
686.085	4	bird	2	686085	31
703.217	4	dog	1	703217	32
720.342	4	fish	3	720342	33
737.458	4	fish	3	737458	34
754.587	4	fish	3	754587	35
771.711	4	fish	3	771711	36
788.842	4	fish	3	788842	37
805.956	4	bird	2	805956	38
823.072	4	bird	2	823072	39
840.214	4	bird	2	840214	40
857.345	4	bird	2	857345	41
874.454	4	dog	1	874454	42
891.581	4	bird	2	891581	43
908.708	4	dog	1	908708	44
925.824	4	bird	2	925824	45
942.939	4	fish	3	942939	46
960.076	4	dog	1	960076	47
977.194	4	dog	1	977194	48
994.321	4	dog	1	994321	49
1011.464	4	fish	3	1011464	50
1028.554	4	bird	2	1028554	51
1045.688	4	fish	3	1045688	52
1062.825	4	dog	1	1062825	53
1079.961	4	dog	1	1079961	54
1097.075	4	fish	3	1097075	55
1114.205	4	fish	3	1114205	56
1131.334	4	dog	1	1131334	57
1148.444	4	bird	2	1148444	58
1165.573	4	dog	1	1165573	59
1182.683	4	bird	2	1182683	60
1328.601	4	fish	3	1328601	61
1345.729	4	bird	2	1345729	62
1362.844	4	dog	1	1362844	63
1379.976	4	fish	3	1379976	64
1397.102	4	dog	1	1397102	65
1414.228	4	fish	3	1414228	66
1431.342	4	bird	2	1431342	67
1448.458	4	fish	3	1448458	68
1465.594	4	fish	3	1465594	69
1482.711	4	fish	3	1482711	70
1499.826	4	fish	3	1499826	71
1516.936	4	bird	2	1516936	72
1534.064	4	bird	2	1534064	73
1551.176	4	bird	2	1551176	74
1568.307	4	fish	3	1568307	75
1585.432	4	dog	1	1585432	76
1602.547	4	dog	1	1602547	77
1619.655	4	fish	3	1619655	78
1636.786	4	dog	1	1636786	79
1653.901	4	bird	2	1653901	80
1671.026	4	bird	2	1671026	81
1688.157	4	dog	1	1688157	82
1705.272	4	bird	2	1705272	83
1722.378	4	dog	1	1722378	84
1739.509	4	dog	1	1739509	85
1756.645	4	bird	2	1756645	86
1773.781	4	dog	1	1773781	87
1790.898	4	bird	2	1790898	88
1808.026	4	dog	1	1808026	89
1825.153	4	fish	3	1825153	90
2005.965	4	fish	3	2005965	91
2023.101	4	dog	1	2023101	92
2040.231	4	bird	2	2040231	93
2057.34	4	fish	3	2057340	94
2074.455	4	bird	2	2074455	95
2091.584	4	bird	2	2091584	96
2108.694	4	fish	3	2108694	97
2125.824	4	dog	1	2125824	98
2142.939	4	bird	2	2142939	99
2160.049	4	fish	3	2160049	100
2177.188	4	dog	1	2177188	101
2194.32	4	dog	1	2194320	102
2211.452	4	fish	3	2211452	103
2228.56	4	bird	2	2228560	104
2245.696	4	dog	1	2245696	105
2262.845	4	fish	3	2262845	106
2279.966	4	bird	2	2279966	107
2297.096	4	bird	2	2297096	108
2314.222	4	fish	3	2314222	109
2331.33	4	bird	2	2331330	110
2348.462	4	bird	2	2348462	111
2365.589	4	dog	1	2365589	112
2382.717	4	fish	3	2382717	113
2399.847	4	fish	3	2399847	114
2416.978	4	dog	1	2416978	115
2434.103	4	dog	1	2434103	116
2451.215	4	dog	1	2451215	117
2468.344	4	fish	3	2468344	118
2485.463	4	dog	1	2485463	119
2502.601	4	bird	2	2502601	120
