onset	duration	type	value	latency	trial
19.247	4	watch	2	19247	1
36.378	4	chair	4	36378	2
53.504	4	watch	2	53504	3
70.636	4	watch	2	70636	4
87.77	4	scissor	1	87770	5
104.906	4	cup	3	104906	6
122.024	4	cup	3	122024	7
139.135	4	watch	2	139135	8
156.261	4	scissor	1	156261	9
173.388	4	scissor	1	173388	10
190.51	4	cup	3	190510	11
207.62	4	chair	4	207620	12
224.749	4	cup	3	224749	13
241.873	4	cup	3	241873	14
259.003	4	scissor	1	259003	15
276.119	4	chair	4	276119	16
293.253	4	chair	4	293253	17
310.368	4	watch	2	310368	18
327.51	4	chair	4	327510	19
344.636	4	chair	4	344636	20
361.766	4	scissor	1	361766	21
378.898	4	watch	2	378898	22
396.007	4	watch	2	396007	23
413.12	4	scissor	1	413120	24
430.24	4	cup	3	430240	25
447.368	4	scissor	1	447368	26
464.509	4	scissor	1	464509	27
481.622	4	watch	2	481622	28
498.749	4	chair	4	498749	29
515.902	4	chair	4	515902	30
533.026	4	watch	2	533026	31
550.141	4	chair	4	550141	32
567.266	4	cup	3	567266	33
584.398	4	cup	3	584398	34
601.522	4	chair	4	601522	35
618.642	4	scissor	1	618642	36
635.754	4	cup	3	635754	37
652.884	4	scissor	1	652884	38
669.998	4	cup	3	669998	39
687.127	4	watch	2	687127	40
1092.481	4	watch	2	1092481	41
1109.605	4	scissor	1	1109605	42
1126.743	4	scissor	1	1126743	43
1143.874	4	chair	4	1143874	44
1160.992	4	watch	2	1160992	45
1178.134	4	cup	3	1178134	46
1195.26	4	scissor	1	1195260	47
1212.393	4	scissor	1	1212393	48
1229.507	4	watch	2	1229507	49
1246.623	4	chair	4	1246623	50
1263.76	4	watch	2	1263760	51
1280.891	4	scissor	1	1280891	52
1298.01	4	scissor	1	1298010	53
1315.153	4	cup	3	1315153	54
1332.265	4	cup	3	1332265	55
1349.381	4	watch	2	1349381	56
1366.537	4	cup	3	1366537	57
1383.681	4	watch	2	1383681	58
1400.795	4	cup	3	1400795	59
1417.906	4	chair	4	1417906	60
1435.037	4	watch	2	1435037	61
1452.171	4	scissor	1	1452171	62
1469.286	4	scissor	1	1469286	63
1486.417	4	chair	4	1486417	64
1503.555	4	watch	2	1503555	65
1520.685	4	scissor	1	1520685	66
1537.813	4	watch	2	1537813	67
1554.931	4	watch	2	1554931	68
1572.044	4	scissor	1	1572044	69
1589.16	4	cup	3	1589160	70
1606.299	4	chair	4	1606299	71
1623.42	4	cup	3	1623420	72
1640.543	4	chair	4	1640543	73
1657.67	4	cup	3	1657670	74
1674.8	4	cup	3	1674800	75
1691.913	4	chair	4	1691913	76
1709.039	4	chair	4	1709039	77
1726.17	4	cup	3	1726170	78
1743.317	4	chair	4	1743317	79
1760.434	4	chair	4	1760434	80
2424.71	4	cup	3	2424710	81
2441.849	4	watch	2	2441849	82
2458.965	4	watch	2	2458965	83
2476.087	4	watch	2	2476087	84
2493.219	4	watch	2	2493219	85
2510.35	4	watch	2	2510350	86
2527.465	4	scissor	1	2527465	87
2544.593	4	watch	2	2544593	88
2561.719	4	scissor	1	2561719	89
2578.848	4	chair	4	2578848	90
2595.976	4	scissor	1	2595976	91
2613.094	4	scissor	1	2613094	92
2630.218	4	chair	4	2630218	93
2647.334	4	watch	2	2647334	94
2664.485	4	watch	2	2664485	95
2681.637	4	chair	4	2681637	96
2698.867	4	scissor	1	2698867	97
2716.334	4	chair	4	2716334	98
2733.964	4	watch	2	2733964	99
2751.184	4	cup	3	2751184	100
2768.311	4	chair	4	2768311	101
2785.423	4	cup	3	2785423	102
2802.54	4	scissor	1	2802540	103
2819.67	4	chair	4	2819670	104
2836.797	4	watch	2	2836797	105
2853.924	4	cup	3	2853924	106
2871.038	4	scissor	1	2871038	107
2888.168	4	scissor	1	2888168	108
2905.302	4	chair	4	2905302	109
2922.439	4	cup	3	2922439	110
2939.571	4	scissor	1	2939571	111
2956.702	4	chair	4	2956702	112
2973.83	4	cup	3	2973830	113
2990.958	4	cup	3	2990958	114
3008.074	4	cup	3	3008074	115
3025.204	4	scissor	1	3025204	116
3042.33	4	chair	4	3042330	117
3059.461	4	cup	3	3059461	118
3076.591	4	cup	3	3076591	119
3093.723	4	chair	4	3093723	120
3241.363	4	watch	2	3241363	121
3258.505	4	cup	3	3258505	122
3275.634	4	chair	4	3275634	123
3292.762	4	cup	3	3292762	124
3309.877	4	scissor	1	3309877	125
3327.007	4	watch	2	3327007	126
3344.135	4	cup	3	3344135	127
3361.249	4	chair	4	3361249	128
3378.358	4	chair	4	3378358	129
3395.49	4	cup	3	3395490	130
3412.62	4	cup	3	3412620	131
3429.735	4	watch	2	3429735	132
3446.848	4	scissor	1	3446848	133
3463.976	4	chair	4	3463976	134
3481.105	4	cup	3	3481105	135
3498.236	4	chair	4	3498236	136
3515.349	4	watch	2	3515349	137
3532.476	4	cup	3	3532476	138
3549.606	4	chair	4	3549606	139
3566.723	4	chair	4	3566723	140
3583.852	4	chair	4	3583852	141
3600.978	4	cup	3	3600978	142
3618.108	4	watch	2	3618108	143
3635.237	4	watch	2	3635237	144
3652.351	4	scissor	1	3652351	145
3669.469	4	cup	3	3669469	146
3686.593	4	scissor	1	3686593	147
3703.725	4	cup	3	3703725	148
3720.837	4	chair	4	3720837	149
3737.962	4	scissor	1	3737962	150
3755.08	4	scissor	1	3755080	151
3772.225	4	chair	4	3772225	152
3789.356	4	scissor	1	3789356	153
3806.482	4	scissor	1	3806482	154
3823.594	4	watch	2	3823594	155
3840.724	4	watch	2	3840724	156
3857.859	4	watch	2	3857859	157
3874.996	4	scissor	1	3874996	158
3892.128	4	watch	2	3892128	159
3909.263	4	scissor	1	3909263	160
