onset	duration	type	value	latency	trial
25.089	4	chair	4	25089	1
42.244	4	scissor	1	42244	2
59.374	4	scissor	1	59374	3
76.489	4	scissor	1	76489	4
93.629	4	cup	3	93629	5
110.742	4	cup	3	110742	6
127.858	4	chair	4	127858	7
144.982	4	chair	4	144982	8
162.11	4	scissor	1	162110	9
179.236	4	cup	3	179236	10
196.353	4	watch	2	196353	11
213.467	4	watch	2	213467	12
230.597	4	cup	3	230597	13
247.723	4	chair	4	247723	14
264.833	4	watch	2	264833	15
281.964	4	watch	2	281964	16
299.095	4	scissor	1	299095	17
316.235	4	chair	4	316235	18
333.347	4	cup	3	333347	19
350.479	4	cup	3	350479	20
367.604	4	scissor	1	367604	21
384.716	4	watch	2	384716	22
401.846	4	scissor	1	401846	23
418.971	4	cup	3	418971	24
436.1	4	scissor	1	436100	25
453.226	4	watch	2	453226	26
470.327	4	watch	2	470327	27
487.443	4	watch	2	487443	28
504.555	4	watch	2	504555	29
521.678	4	chair	4	521678	30
538.809	4	scissor	1	538809	31
555.936	4	watch	2	555936	32
573.048	4	chair	4	573048	33
590.164	4	chair	4	590164	34
607.298	4	cup	3	607298	35
624.433	4	chair	4	624433	36
641.551	4	cup	3	641551	37
658.668	4	scissor	1	658668	38
675.789	4	chair	4	675789	39
692.919	4	cup	3	692919	40
898.275	4	cup	3	898275	41
915.421	4	chair	4	915421	42
932.544	4	watch	2	932544	43
949.674	4	chair	4	949674	44
966.798	4	cup	3	966798	45
983.929	4	watch	2	983929	46
1001.058	4	chair	4	1001058	47
1018.191	4	scissor	1	1018191	48
1035.329	4	scissor	1	1035329	49
1052.445	4	scissor	1	1052445	50
1069.561	4	scissor	1	1069561	51
1086.688	4	watch	2	1086688	52
1103.828	4	watch	2	1103828	53
1120.943	4	watch	2	1120943	54
1138.054	4	chair	4	1138054	55
1155.179	4	scissor	1	1155179	56
1172.314	4	cup	3	1172314	57
1189.423	4	watch	2	1189423	58
1206.538	4	cup	3	1206538	59
1223.669	4	chair	4	1223669	60
1240.809	4	watch	2	1240809	61
1257.924	4	chair	4	1257924	62
1275.051	4	cup	3	1275051	63
1292.164	4	scissor	1	1292164	64
1309.29	4	cup	3	1309290	65
1326.419	4	cup	3	1326419	66
1343.548	4	watch	2	1343548	67
1360.663	4	scissor	1	1360663	68
1377.79	4	chair	4	1377790	69
1394.92	4	scissor	1	1394920	70
1412.061	4	watch	2	1412061	71
1429.191	4	chair	4	1429191	72
1446.32	4	watch	2	1446320	73
1463.434	4	scissor	1	1463434	74
1480.559	4	cup	3	1480559	75
1497.688	4	cup	3	1497688	76
1514.819	4	scissor	1	1514819	77
1531.946	4	chair	4	1531946	78
1549.076	4	cup	3	1549076	79
1566.203	4	chair	4	1566203	80
1767.368	4	scissor	1	1767368	81
1784.492	4	scissor	1	1784492	82
1801.606	4	watch	2	1801606	83
1818.718	4	scissor	1	1818718	84
1835.83	4	watch	2	1835830	85
1852.943	4	watch	2	1852943	86
1870.061	4	scissor	1	1870061	87
1887.194	4	watch	2	1887194	88
1904.307	4	cup	3	1904307	89
1921.44	4	chair	4	1921440	90
1938.57	4	scissor	1	1938570	91
1955.696	4	watch	2	1955696	92
1972.827	4	chair	4	1972827	93
1989.942	4	cup	3	1989942	94
2007.065	4	cup	3	2007065	95
2024.18	4	scissor	1	2024180	96
2041.311	4	cup	3	2041311	97
2058.436	4	cup	3	2058436	98
2075.56	4	cup	3	2075560	99
2092.694	4	chair	4	2092694	100
2109.822	4	watch	2	2109822	101
2126.932	4	chair	4	2126932	102
2144.045	4	chair	4	2144045	103
2161.176	4	chair	4	2161176	104
2178.305	4	watch	2	2178305	105
2195.417	4	chair	4	2195417	106
2212.54	4	scissor	1	2212540	107
2229.674	4	scissor	1	2229674	108
2246.788	4	watch	2	2246788	109
2263.895	4	scissor	1	2263895	110
2281.011	4	watch	2	2281011	111
2298.125	4	cup	3	2298125	112
2315.235	4	watch	2	2315235	113
2332.365	4	cup	3	2332365	114
2349.496	4	chair	4	2349496	115
2366.623	4	cup	3	2366623	116
2383.755	4	scissor	1	2383755	117
2400.883	4	chair	4	2400883	118
2418.024	4	cup	3	2418024	119
2435.152	4	chair	4	2435152	120
2617.424	4	chair	4	2617424	121
2634.554	4	chair	4	2634554	122
2651.666	4	watch	2	2651666	123
2668.776	4	cup	3	2668776	124
2685.896	4	scissor	1	2685896	125
2703.034	4	watch	2	2703034	126
2720.177	4	scissor	1	2720177	127
2737.3	4	scissor	1	2737300	128
2754.435	4	cup	3	2754435	129
2771.565	4	scissor	1	2771565	130
2788.692	4	scissor	1	2788692	131
2805.806	4	scissor	1	2805806	132
2822.916	4	chair	4	2822916	133
2840.048	4	watch	2	2840048	134
2857.16	4	cup	3	2857160	135
2874.285	4	chair	4	2874285	136
2891.418	4	cup	3	2891418	137
2908.55	4	scissor	1	2908550	138
2925.67	4	watch	2	2925670	139
2942.785	4	cup	3	2942785	140
2959.895	4	watch	2	2959895	141
2977.027	4	cup	3	2977027	142
2994.152	4	watch	2	2994152	143
3011.283	4	scissor	1	3011283	144
3028.4	4	watch	2	3028400	145
3045.537	4	chair	4	3045537	146
3062.654	4	scissor	1	3062654	147
3079.778	4	chair	4	3079778	148
3096.907	4	cup	3	3096907	149
3114.04	4	chair	4	3114040	150
3131.167	4	cup	3	3131167	151
3148.293	4	cup	3	3148293	152
3165.412	4	cup	3	3165412	153
3182.535	4	chair	4	3182535	154
3199.661	4	chair	4	3199661	155
3216.792	4	scissor	1	3216792	156
3233.906	4	watch	2	3233906	157
3251.035	4	watch	2	3251035	158
3268.161	4	chair	4	3268161	159
3285.274	4	watch	2	3285274	160
