name	type	units	status	status_description
Fpz	EEG	uV	good	n/a
Fp1	EEG	uV	good	n/a
Fp2	EEG	uV	good	n/a
Fz	EEG	uV	good	n/a
F3	EEG	uV	good	n/a
F4	EEG	uV	good	n/a
F7	EEG	uV	good	n/a
F8	EEG	uV	good	n/a
FCz	EEG	uV	good	n/a
FC3	EEG	uV	good	n/a
FC4	EEG	uV	good	n/a
FT7	EEG	uV	good	n/a
FT8	EEG	uV	good	n/a
Cz	EEG	uV	good	n/a
C3	EEG	uV	good	n/a
C4	EEG	uV	good	n/a
T7	EEG	uV	good	n/a
T8	EEG	uV	good	n/a
CP3	EEG	uV	good	n/a
CP4	EEG	uV	good	n/a
TP7	EEG	uV	good	n/a
TP8	EEG	uV	good	n/a
Pz	EEG	uV	good	n/a
P3	EEG	uV	good	n/a
P4	EEG	uV	good	n/a
P7	EEG	uV	good	n/a
P8	EEG	uV	good	n/a
PO3	EEG	uV	good	n/a
PO4	EEG	uV	good	n/a
Oz	EEG	uV	good	n/a
O1	EEG	uV	good	n/a
O2	EEG	uV	good	n/a
