onset	duration	type	value	latency	trial
31.436	4	chair	4	31436	1
48.576	4	chair	4	48576	2
65.75	4	chair	4	65750	3
82.866	4	chair	4	82866	4
100.008	4	scissor	1	100008	5
117.14	4	scissor	1	117140	6
134.282	4	watch	2	134282	7
151.392	4	watch	2	151392	8
168.521	4	watch	2	168521	9
185.638	4	watch	2	185638	10
202.776	4	scissor	1	202776	11
219.904	4	scissor	1	219904	12
237.034	4	cup	3	237034	13
254.145	4	chair	4	254145	14
271.273	4	watch	2	271273	15
288.406	4	cup	3	288406	16
305.535	4	cup	3	305535	17
322.674	4	chair	4	322674	18
339.788	4	watch	2	339788	19
356.906	4	scissor	1	356906	20
374.032	4	chair	4	374032	21
391.172	4	scissor	1	391172	22
408.302	4	cup	3	408302	23
425.429	4	cup	3	425429	24
442.559	4	chair	4	442559	25
459.684	4	cup	3	459684	26
476.799	4	watch	2	476799	27
493.911	4	scissor	1	493911	28
511.036	4	scissor	1	511036	29
528.153	4	cup	3	528153	30
545.264	4	cup	3	545264	31
562.392	4	chair	4	562392	32
579.516	4	watch	2	579516	33
596.632	4	cup	3	596632	34
613.72	4	watch	2	613720	35
630.861	4	scissor	1	630861	36
647.998	4	cup	3	647998	37
665.114	4	watch	2	665114	38
682.244	4	chair	4	682244	39
699.369	4	scissor	1	699369	40
930.812	4	cup	3	930812	41
947.931	4	watch	2	947931	42
965.044	4	watch	2	965044	43
982.175	4	cup	3	982175	44
999.317	4	cup	3	999317	45
1016.426	4	chair	4	1016426	46
1033.542	4	chair	4	1033542	47
1050.666	4	chair	4	1050666	48
1067.779	4	watch	2	1067779	49
1084.895	4	scissor	1	1084895	50
1102.007	4	scissor	1	1102007	51
1119.121	4	chair	4	1119121	52
1136.245	4	watch	2	1136245	53
1153.379	4	cup	3	1153379	54
1170.513	4	scissor	1	1170513	55
1187.632	4	chair	4	1187632	56
1204.766	4	scissor	1	1204766	57
1221.904	4	cup	3	1221904	58
1239.031	4	chair	4	1239031	59
1256.159	4	watch	2	1256159	60
1273.276	4	watch	2	1273276	61
1290.416	4	scissor	1	1290416	62
1307.529	4	watch	2	1307529	63
1324.659	4	chair	4	1324659	64
1341.782	4	chair	4	1341782	65
1358.917	4	scissor	1	1358917	66
1376.058	4	scissor	1	1376058	67
1393.189	4	scissor	1	1393189	68
1410.298	4	scissor	1	1410298	69
1427.413	4	cup	3	1427413	70
1444.543	4	scissor	1	1444543	71
1461.683	4	cup	3	1461683	72
1478.811	4	cup	3	1478811	73
1495.944	4	watch	2	1495944	74
1513.069	4	cup	3	1513069	75
1530.178	4	chair	4	1530178	76
1547.293	4	chair	4	1547293	77
1564.403	4	watch	2	1564403	78
1581.514	4	cup	3	1581514	79
1598.644	4	watch	2	1598644	80
2026.053	4	chair	4	2026053	81
2043.182	4	chair	4	2043182	82
2060.315	4	watch	2	2060315	83
2077.44	4	cup	3	2077440	84
2094.568	4	scissor	1	2094568	85
2111.694	4	cup	3	2111694	86
2128.821	4	watch	2	2128821	87
2145.937	4	scissor	1	2145937	88
2163.049	4	cup	3	2163049	89
2180.174	4	chair	4	2180174	90
2197.305	4	scissor	1	2197305	91
2214.435	4	chair	4	2214435	92
2231.579	4	scissor	1	2231579	93
2248.703	4	scissor	1	2248703	94
2265.832	4	cup	3	2265832	95
2282.943	4	watch	2	2282943	96
2300.055	4	scissor	1	2300055	97
2317.171	4	chair	4	2317171	98
2334.28	4	watch	2	2334280	99
2351.396	4	cup	3	2351396	100
2368.503	4	scissor	1	2368503	101
2385.641	4	cup	3	2385641	102
2402.767	4	watch	2	2402767	103
2419.891	4	chair	4	2419891	104
2437.004	4	watch	2	2437004	105
2454.131	4	watch	2	2454131	106
