onset	duration	type	value	latency	trial
19.995	4	pentagram	1	19995	1
37.114	4	pentagram	1	37114	2
54.243	4	pentagram	1	54243	3
71.37	4	pentagram	1	71370	4
88.499	4	square	2	88499	5
105.627	4	circle	3	105627	6
122.75	4	pentagram	1	122750	7
139.888	4	circle	3	139888	8
157.028	4	square	2	157028	9
174.139	4	square	2	174139	10
191.253	4	square	2	191253	11
208.38	4	square	2	208380	12
225.509	4	square	2	225509	13
242.639	4	circle	3	242639	14
259.768	4	pentagram	1	259768	15
276.907	4	circle	3	276907	16
294.034	4	circle	3	294034	17
311.148	4	circle	3	311148	18
328.264	4	pentagram	1	328264	19
345.394	4	circle	3	345394	20
362.54	4	pentagram	1	362540	21
379.675	4	pentagram	1	379675	22
396.808	4	square	2	396808	23
413.933	4	pentagram	1	413933	24
431.076	4	square	2	431076	25
448.186	4	circle	3	448186	26
465.318	4	square	2	465318	27
482.433	4	circle	3	482433	28
499.547	4	square	2	499547	29
516.659	4	circle	3	516659	30
605.627	4	square	2	605627	31
622.743	4	circle	3	622743	32
639.858	4	pentagram	1	639858	33
656.981	4	square	2	656981	34
674.109	4	pentagram	1	674109	35
691.222	4	pentagram	1	691222	36
708.353	4	circle	3	708353	37
725.483	4	pentagram	1	725483	38
742.609	4	pentagram	1	742609	39
759.733	4	pentagram	1	759733	40
776.866	4	square	2	776866	41
794.005	4	circle	3	794005	42
811.131	4	circle	3	811131	43
828.263	4	pentagram	1	828263	44
845.374	4	square	2	845374	45
862.482	4	circle	3	862482	46
879.617	4	square	2	879617	47
896.728	4	circle	3	896728	48
913.841	4	square	2	913841	49
930.957	4	pentagram	1	930957	50
948.101	4	square	2	948101	51
965.238	4	pentagram	1	965238	52
982.35	4	circle	3	982350	53
999.482	4	circle	3	999482	54
1016.609	4	circle	3	1016609	55
1033.733	4	circle	3	1033733	56
1050.865	4	pentagram	1	1050865	57
1067.995	4	square	2	1067995	58
1085.107	4	square	2	1085107	59
1102.218	4	square	2	1102218	60
1201.305	4	pentagram	1	1201305	61
1218.429	4	circle	3	1218429	62
1235.553	4	pentagram	1	1235553	63
1252.678	4	circle	3	1252678	64
1269.806	4	circle	3	1269806	65
1286.933	4	square	2	1286933	66
1304.066	4	pentagram	1	1304066	67
1321.188	4	circle	3	1321188	68
1338.311	4	pentagram	1	1338311	69
1355.436	4	circle	3	1355436	70
1372.561	4	square	2	1372561	71
1389.671	4	square	2	1389671	72
1406.788	4	pentagram	1	1406788	73
1423.921	4	pentagram	1	1423921	74
1441.057	4	square	2	1441057	75
1458.186	4	square	2	1458186	76
1475.321	4	square	2	1475321	77
1492.446	4	pentagram	1	1492446	78
1509.556	4	square	2	1509556	79
1526.682	4	square	2	1526682	80
1543.811	4	circle	3	1543811	81
1560.939	4	circle	3	1560939	82
1578.053	4	pentagram	1	1578053	83
1595.185	4	circle	3	1595185	84
1612.326	4	pentagram	1	1612326	85
1629.439	4	circle	3	1629439	86
1646.551	4	circle	3	1646551	87
1663.664	4	pentagram	1	1663664	88
1680.788	4	square	2	1680788	89
1697.905	4	square	2	1697905	90
1836.423	4	circle	3	1836423	91
1853.554	4	square	2	1853554	92
1870.667	4	pentagram	1	1870667	93
1887.791	4	circle	3	1887791	94
1904.904	4	circle	3	1904904	95
1922.017	4	pentagram	1	1922017	96
1939.144	4	circle	3	1939144	97
1956.257	4	pentagram	1	1956257	98
1973.384	4	circle	3	1973384	99
1990.515	4	square	2	1990515	100
2007.627	4	circle	3	2007627	101
2024.738	4	pentagram	1	2024738	102
2041.871	4	square	2	2041871	103
2059.006	4	circle	3	2059006	104
2076.124	4	square	2	2076124	105
2093.238	4	square	2	2093238	106
2110.36	4	square	2	2110360	107
2127.473	4	pentagram	1	2127473	108
2144.607	4	pentagram	1	2144607	109
2161.748	4	circle	3	2161748	110
2178.861	4	pentagram	1	2178861	111
2195.984	4	square	2	2195984	112
2213.112	4	pentagram	1	2213112	113
2230.241	4	square	2	2230241	114
2247.355	4	square	2	2247355	115
2264.482	4	circle	3	2264482	116
2281.599	4	pentagram	1	2281599	117
2298.723	4	pentagram	1	2298723	118
2315.856	4	square	2	2315856	119
2333.004	4	circle	3	2333004	120
