onset	duration	type	value	latency	trial
17.417	4	dog	1	17417	1
34.532	4	dog	1	34532	2
51.663	4	dog	1	51663	3
68.789	4	fish	3	68789	4
85.914	4	fish	3	85914	5
103.027	4	dog	1	103027	6
120.143	4	fish	3	120143	7
137.28	4	bird	2	137280	8
154.412	4	bird	2	154412	9
171.539	4	fish	3	171539	10
188.665	4	bird	2	188665	11
205.799	4	bird	2	205799	12
222.929	4	dog	1	222929	13
240.051	4	fish	3	240051	14
257.167	4	fish	3	257167	15
274.299	4	dog	1	274299	16
291.444	4	bird	2	291444	17
308.554	4	dog	1	308554	18
325.667	4	fish	3	325667	19
342.801	4	dog	1	342801	20
359.923	4	bird	2	359923	21
377.04	4	bird	2	377040	22
394.182	4	bird	2	394182	23
411.292	4	bird	2	411292	24
428.42	4	dog	1	428420	25
445.536	4	bird	2	445536	26
462.647	4	fish	3	462647	27
479.775	4	fish	3	479775	28
496.887	4	dog	1	496887	29
514.016	4	fish	3	514016	30
671.189	4	dog	1	671189	31
688.334	4	fish	3	688334	32
705.457	4	dog	1	705457	33
722.572	4	dog	1	722572	34
739.702	4	fish	3	739702	35
756.843	4	bird	2	756843	36
773.958	4	bird	2	773958	37
791.103	4	bird	2	791103	38
808.229	4	bird	2	808229	39
825.34	4	fish	3	825340	40
842.472	4	fish	3	842472	41
859.6	4	fish	3	859600	42
876.742	4	dog	1	876742	43
893.871	4	bird	2	893871	44
911.004	4	fish	3	911004	45
928.142	4	dog	1	928142	46
945.258	4	fish	3	945258	47
962.389	4	bird	2	962389	48
979.514	4	fish	3	979514	49
996.627	4	bird	2	996627	50
1013.756	4	bird	2	1013756	51
1030.879	4	fish	3	1030879	52
1048.011	4	dog	1	1048011	53
1065.125	4	dog	1	1065125	54
1082.254	4	dog	1	1082254	55
1099.396	4	fish	3	1099396	56
1116.513	4	dog	1	1116513	57
1133.641	4	bird	2	1133641	58
1150.769	4	bird	2	1150769	59
1167.892	4	dog	1	1167892	60
1313.216	4	fish	3	1313216	61
1330.332	4	fish	3	1330332	62
1347.446	4	dog	1	1347446	63
1364.571	4	bird	2	1364571	64
1381.702	4	bird	2	1381702	65
1398.825	4	dog	1	1398825	66
1415.957	4	bird	2	1415957	67
1433.087	4	fish	3	1433087	68
1450.211	4	fish	3	1450211	69
1467.34	4	bird	2	1467340	70
1484.469	4	dog	1	1484469	71
1501.6	4	fish	3	1501600	72
1518.713	4	dog	1	1518713	73
1535.826	4	bird	2	1535826	74
1552.953	4	bird	2	1552953	75
1570.077	4	dog	1	1570077	76
1587.197	4	fish	3	1587197	77
1604.306	4	dog	1	1604306	78
1621.414	4	dog	1	1621414	79
1638.55	4	bird	2	1638550	80
1655.662	4	fish	3	1655662	81
1672.787	4	fish	3	1672787	82
1689.916	4	fish	3	1689916	83
1707.029	4	bird	2	1707029	84
1724.156	4	fish	3	1724156	85
1741.274	4	dog	1	1741274	86
1758.415	4	dog	1	1758415	87
1775.526	4	bird	2	1775526	88
1792.656	4	dog	1	1792656	89
1809.768	4	bird	2	1809768	90
2017.327	4	dog	1	2017327	91
2034.447	4	dog	1	2034447	92
2051.575	4	dog	1	2051575	93
2068.687	4	dog	1	2068687	94
2085.798	4	bird	2	2085798	95
2102.928	4	fish	3	2102928	96
2120.043	4	dog	1	2120043	97
2137.183	4	fish	3	2137183	98
2154.314	4	bird	2	2154314	99
2171.43	4	bird	2	2171430	100
2188.57	4	bird	2	2188570	101
2205.683	4	bird	2	2205683	102
2222.797	4	bird	2	2222797	103
2239.921	4	fish	3	2239921	104
2257.049	4	dog	1	2257049	105
2274.165	4	fish	3	2274165	106
2291.292	4	fish	3	2291292	107
2308.419	4	fish	3	2308419	108
2325.55	4	dog	1	2325550	109
2342.665	4	fish	3	2342665	110
2359.789	4	dog	1	2359789	111
2376.918	4	dog	1	2376918	112
2394.045	4	bird	2	2394045	113
2411.171	4	dog	1	2411171	114
2428.311	4	bird	2	2428311	115
2445.434	4	fish	3	2445434	116
2462.561	4	bird	2	2462561	117
2479.691	4	fish	3	2479691	118
2496.816	4	bird	2	2496816	119
2513.933	4	fish	3	2513933	120
