onset	duration	type	value	latency	trial
18.614	4	circle	3	18614	1
35.727	4	circle	3	35727	2
52.821	4	pentagram	1	52821	3
69.929	4	square	2	69929	4
87.045	4	pentagram	1	87045	5
104.156	4	square	2	104156	6
121.264	4	circle	3	121264	7
138.379	4	pentagram	1	138379	8
155.477	4	square	2	155477	9
172.595	4	circle	3	172595	10
189.699	4	square	2	189699	11
206.812	4	pentagram	1	206812	12
223.92	4	square	2	223920	13
241.018	4	pentagram	1	241018	14
258.129	4	square	2	258129	15
275.245	4	pentagram	1	275245	16
292.355	4	pentagram	1	292355	17
309.468	4	circle	3	309468	18
326.579	4	circle	3	326579	19
343.675	4	square	2	343675	20
360.783	4	circle	3	360783	21
377.898	4	square	2	377898	22
395.012	4	square	2	395012	23
412.112	4	square	2	412112	24
429.219	4	circle	3	429219	25
446.317	4	circle	3	446317	26
463.429	4	pentagram	1	463429	27
480.541	4	pentagram	1	480541	28
497.634	4	circle	3	497634	29
514.751	4	pentagram	1	514751	30
630.448	4	square	2	630448	31
647.543	4	square	2	647543	32
664.653	4	circle	3	664653	33
681.765	4	square	2	681765	34
698.879	4	circle	3	698879	35
715.992	4	pentagram	1	715992	36
733.102	4	square	2	733102	37
750.216	4	circle	3	750216	38
767.342	4	square	2	767342	39
784.457	4	pentagram	1	784457	40
801.569	4	pentagram	1	801569	41
818.662	4	pentagram	1	818662	42
835.775	4	circle	3	835775	43
852.902	4	pentagram	1	852902	44
870.015	4	pentagram	1	870015	45
887.112	4	pentagram	1	887112	46
904.237	4	circle	3	904237	47
921.354	4	pentagram	1	921354	48
938.465	4	square	2	938465	49
955.574	4	circle	3	955574	50
972.686	4	circle	3	972686	51
989.799	4	square	2	989799	52
1006.912	4	circle	3	1006912	53
1024.029	4	square	2	1024029	54
1041.137	4	square	2	1041137	55
1058.247	4	circle	3	1058247	56
1075.36	4	circle	3	1075360	57
1092.472	4	square	2	1092472	58
1109.583	4	pentagram	1	1109583	59
1126.697	4	pentagram	1	1126697	60
1265.88	4	square	2	1265880	61
1282.997	4	pentagram	1	1282997	62
1300.111	4	circle	3	1300111	63
1317.204	4	circle	3	1317204	64
1334.318	4	circle	3	1334318	65
1351.427	4	circle	3	1351427	66
1368.543	4	circle	3	1368543	67
1385.642	4	square	2	1385642	68
1402.75	4	square	2	1402750	69
1419.865	4	square	2	1419865	70
1436.974	4	square	2	1436974	71
1454.083	4	pentagram	1	1454083	72
1471.204	4	square	2	1471204	73
1488.312	4	pentagram	1	1488312	74
1505.425	4	square	2	1505425	75
1522.531	4	circle	3	1522531	76
1539.645	4	pentagram	1	1539645	77
1556.755	4	pentagram	1	1556755	78
1573.872	4	pentagram	1	1573872	79
1590.984	4	circle	3	1590984	80
1608.097	4	square	2	1608097	81
1625.204	4	circle	3	1625204	82
1642.32	4	pentagram	1	1642320	83
1659.432	4	pentagram	1	1659432	84
1676.54	4	circle	3	1676540	85
1693.655	4	circle	3	1693655	86
1710.752	4	pentagram	1	1710752	87
1727.865	4	square	2	1727865	88
1744.975	4	pentagram	1	1744975	89
1762.075	4	square	2	1762075	90
2441.487	4	circle	3	2441487	91
2458.597	4	square	2	2458597	92
2475.713	4	pentagram	1	2475713	93
2492.808	4	circle	3	2492808	94
2509.92	4	pentagram	1	2509920	95
2527.032	4	circle	3	2527032	96
2544.144	4	square	2	2544144	97
2561.258	4	circle	3	2561258	98
2578.369	4	circle	3	2578369	99
2595.481	4	circle	3	2595481	100
2612.597	4	circle	3	2612597	101
2629.704	4	square	2	2629704	102
2646.797	4	square	2	2646797	103
2663.914	4	square	2	2663914	104
2681.024	4	circle	3	2681024	105
2698.121	4	pentagram	1	2698121	106
2715.234	4	pentagram	1	2715234	107
2732.346	4	circle	3	2732346	108
2749.441	4	pentagram	1	2749441	109
2766.557	4	square	2	2766557	110
2783.662	4	square	2	2783662	111
2800.776	4	pentagram	1	2800776	112
2817.891	4	square	2	2817891	113
2835.003	4	pentagram	1	2835003	114
2852.114	4	pentagram	1	2852114	115
2869.227	4	square	2	2869227	116
2886.334	4	pentagram	1	2886334	117
2903.448	4	square	2	2903448	118
2920.548	4	pentagram	1	2920548	119
2937.638	4	circle	3	2937638	120
