onset	duration	type	value	latency	trial
17.932	4	circle	3	17932	1
35.05	4	pentagram	1	35050	2
52.159	4	square	2	52159	3
69.272	4	circle	3	69272	4
86.402	4	square	2	86402	5
103.512	4	square	2	103512	6
120.625	4	circle	3	120625	7
137.738	4	pentagram	1	137738	8
154.871	4	square	2	154871	9
172.024	4	circle	3	172024	10
189.188	4	pentagram	1	189188	11
206.303	4	pentagram	1	206303	12
223.442	4	circle	3	223442	13
240.554	4	square	2	240554	14
257.663	4	pentagram	1	257663	15
274.776	4	circle	3	274776	16
291.893	4	square	2	291893	17
309.015	4	square	2	309015	18
326.148	4	circle	3	326148	19
343.272	4	square	2	343272	20
360.402	4	square	2	360402	21
377.529	4	pentagram	1	377529	22
394.645	4	circle	3	394645	23
411.762	4	circle	3	411762	24
428.897	4	pentagram	1	428897	25
446.014	4	pentagram	1	446014	26
463.144	4	pentagram	1	463144	27
480.269	4	circle	3	480269	28
497.383	4	pentagram	1	497383	29
514.512	4	square	2	514512	30
675.18	4	circle	3	675180	31
692.297	4	square	2	692297	32
709.431	4	pentagram	1	709431	33
726.572	4	circle	3	726572	34
743.683	4	circle	3	743683	35
760.798	4	pentagram	1	760798	36
777.924	4	pentagram	1	777924	37
795.05	4	square	2	795050	38
812.164	4	circle	3	812164	39
829.29	4	square	2	829290	40
846.407	4	square	2	846407	41
863.518	4	circle	3	863518	42
880.644	4	square	2	880644	43
897.773	4	pentagram	1	897773	44
914.884	4	pentagram	1	914884	45
932.003	4	circle	3	932003	46
949.13	4	pentagram	1	949130	47
966.27	4	pentagram	1	966270	48
983.397	4	pentagram	1	983397	49
1000.524	4	square	2	1000524	50
1017.639	4	pentagram	1	1017639	51
1034.751	4	circle	3	1034751	52
1051.884	4	square	2	1051884	53
1069.024	4	pentagram	1	1069024	54
1086.138	4	square	2	1086138	55
1103.265	4	circle	3	1103265	56
1120.381	4	square	2	1120381	57
1137.52	4	circle	3	1137520	58
1154.651	4	circle	3	1154651	59
1171.775	4	square	2	1171775	60
1325.6	4	pentagram	1	1325600	61
1342.716	4	pentagram	1	1342716	62
1359.838	4	circle	3	1359838	63
1376.96	4	pentagram	1	1376960	64
1394.084	4	square	2	1394084	65
1411.209	4	circle	3	1411209	66
1428.34	4	circle	3	1428340	67
1445.466	4	circle	3	1445466	68
1462.601	4	pentagram	1	1462601	69
1479.728	4	square	2	1479728	70
1496.839	4	square	2	1496839	71
1513.969	4	pentagram	1	1513969	72
1531.093	4	circle	3	1531093	73
1548.221	4	circle	3	1548221	74
1565.335	4	circle	3	1565335	75
1582.468	4	pentagram	1	1582468	76
1599.607	4	circle	3	1599607	77
1616.72	4	square	2	1616720	78
1633.847	4	square	2	1633847	79
1650.977	4	pentagram	1	1650977	80
1668.086	4	square	2	1668086	81
1685.219	4	pentagram	1	1685219	82
1702.349	4	square	2	1702349	83
1719.478	4	pentagram	1	1719478	84
1736.631	4	pentagram	1	1736631	85
1753.767	4	square	2	1753767	86
1770.905	4	circle	3	1770905	87
1788.033	4	square	2	1788033	88
1805.146	4	circle	3	1805146	89
1822.27	4	square	2	1822270	90
1936.829	4	circle	3	1936829	91
1953.945	4	square	2	1953945	92
1971.055	4	circle	3	1971055	93
1988.172	4	pentagram	1	1988172	94
2005.297	4	square	2	2005297	95
2022.411	4	pentagram	1	2022411	96
2039.539	4	square	2	2039539	97
2056.67	4	pentagram	1	2056670	98
2073.799	4	circle	3	2073799	99
2090.922	4	square	2	2090922	100
2108.032	4	square	2	2108032	101
2125.165	4	circle	3	2125165	102
2142.29	4	circle	3	2142290	103
2159.421	4	circle	3	2159421	104
2176.548	4	circle	3	2176548	105
2193.678	4	pentagram	1	2193678	106
2210.791	4	square	2	2210791	107
2227.919	4	pentagram	1	2227919	108
2245.06	4	square	2	2245060	109
2262.175	4	pentagram	1	2262175	110
2279.301	4	square	2	2279301	111
2296.433	4	pentagram	1	2296433	112
2313.571	4	pentagram	1	2313571	113
2330.713	4	circle	3	2330713	114
2347.843	4	square	2	2347843	115
2364.958	4	circle	3	2364958	116
2382.088	4	square	2	2382088	117
2399.214	4	circle	3	2399214	118
2416.346	4	pentagram	1	2416346	119
2433.471	4	pentagram	1	2433471	120
