onset	duration	type	value	latency	trial
17.51	4	scissor	1	17510	1
34.649	4	scissor	1	34649	2
51.791	4	scissor	1	51791	3
68.938	4	scissor	1	68938	4
86.051	4	cup	3	86051	5
103.162	4	chair	4	103162	6
120.276	4	chair	4	120276	7
137.374	4	cup	3	137374	8
154.485	4	watch	2	154485	9
171.592	4	cup	3	171592	10
188.709	4	chair	4	188709	11
205.823	4	chair	4	205823	12
222.93	4	cup	3	222930	13
240.045	4	scissor	1	240045	14
257.165	4	scissor	1	257165	15
274.27	4	cup	3	274270	16
291.379	4	watch	2	291379	17
308.496	4	watch	2	308496	18
325.61	4	watch	2	325610	19
342.72	4	watch	2	342720	20
359.833	4	cup	3	359833	21
376.942	4	chair	4	376942	22
394.054	4	chair	4	394054	23
411.173	4	cup	3	411173	24
428.281	4	watch	2	428281	25
445.394	4	cup	3	445394	26
462.507	4	cup	3	462507	27
479.608	4	scissor	1	479608	28
496.701	4	chair	4	496701	29
513.809	4	scissor	1	513809	30
530.927	4	watch	2	530927	31
548.041	4	chair	4	548041	32
565.148	4	watch	2	565148	33
582.263	4	watch	2	582263	34
599.377	4	watch	2	599377	35
616.49	4	scissor	1	616490	36
633.601	4	chair	4	633601	37
650.712	4	scissor	1	650712	38
667.83	4	chair	4	667830	39
684.926	4	cup	3	684926	40
828.24	4	cup	3	828240	41
845.341	4	cup	3	845341	42
862.444	4	cup	3	862444	43
879.561	4	cup	3	879561	44
896.679	4	chair	4	896679	45
913.788	4	chair	4	913788	46
930.898	4	scissor	1	930898	47
948.012	4	scissor	1	948012	48
965.124	4	scissor	1	965124	49
982.248	4	scissor	1	982248	50
999.367	4	chair	4	999367	51
1016.48	4	watch	2	1016480	52
1033.588	4	chair	4	1033588	53
1050.707	4	cup	3	1050707	54
1067.812	4	scissor	1	1067812	55
1084.927	4	watch	2	1084927	56
1102.041	4	watch	2	1102041	57
1119.157	4	cup	3	1119157	58
1136.26	4	scissor	1	1136260	59
1153.379	4	chair	4	1153379	60
1170.475	4	cup	3	1170475	61
1187.59	4	watch	2	1187590	62
1204.681	4	watch	2	1204681	63
1221.798	4	cup	3	1221798	64
1238.908	4	watch	2	1238908	65
1256.016	4	chair	4	1256016	66
1273.135	4	scissor	1	1273135	67
1290.248	4	chair	4	1290248	68
1307.356	4	chair	4	1307356	69
1324.449	4	chair	4	1324449	70
1341.569	4	watch	2	1341569	71
1358.681	4	watch	2	1358681	72
1375.773	4	cup	3	1375773	73
1392.888	4	chair	4	1392888	74
1409.999	4	scissor	1	1409999	75
1427.119	4	watch	2	1427119	76
1444.21	4	scissor	1	1444210	77
1461.325	4	watch	2	1461325	78
1478.437	4	scissor	1	1478437	79
1495.55	4	cup	3	1495550	80
1634.549	4	watch	2	1634549	81
1651.666	4	chair	4	1651666	82
1668.782	4	scissor	1	1668782	83
1685.873	4	scissor	1	1685873	84
1702.982	4	watch	2	1702982	85
1720.1	4	watch	2	1720100	86
1737.211	4	chair	4	1737211	87
1754.326	4	cup	3	1754326	88
1771.436	4	cup	3	1771436	89
1788.548	4	cup	3	1788548	90
1805.656	4	scissor	1	1805656	91
1822.773	4	cup	3	1822773	92
1839.889	4	chair	4	1839889	93
1857	4	scissor	1	1857000	94
1874.109	4	chair	4	1874109	95
1891.222	4	chair	4	1891222	96
1908.338	4	watch	2	1908338	97
1925.435	4	cup	3	1925435	98
1942.529	4	chair	4	1942529	99
1959.64	4	watch	2	1959640	100
1976.756	4	chair	4	1976756	101
1993.849	4	cup	3	1993849	102
2010.966	4	scissor	1	2010966	103
2028.057	4	scissor	1	2028057	104
2045.173	4	chair	4	2045173	105
2062.265	4	scissor	1	2062265	106
2079.364	4	cup	3	2079364	107
2096.483	4	cup	3	2096483	108
2113.592	4	chair	4	2113592	109
2130.687	4	watch	2	2130687	110
2147.8	4	watch	2	2147800	111
2164.91	4	watch	2	2164910	112
2182.021	4	scissor	1	2182021	113
2199.134	4	chair	4	2199134	114
2216.246	4	watch	2	2216246	115
2233.36	4	cup	3	2233360	116
